card_name,no_of_reviews,net_promoter_score
standard-chartered-unlimited-cashback-credit-card,121,20
uob-one-card,113,0
posb-everyday-cashback,146,8
amex-true-cashback-card,48,17
ocbc-ntuc-plus-visa-credit-card,19,10
dbs-live-fresh-cashback,71,-31
cimb-platinum-mastercard-cashback,20,5
ocbc-365-credit-card,101,-29
citi-smrt-card,36,-14
standard-chartered-spree-credit-card,13,8
ocbc-cashflo-credit-card,10,10
cimb-visa-signature,27,-44
hsbc-advance-credit-card,13,7
ocbc-plus-visa-card,9,22
ocbc-frank-credit-card,17,-53
citi-cash-back-plus-card,6,-50
citi-cash-back-card,13,-39
dbs-altitude-visa-signature-card,51,13
dbs-womans-world-card,19,16
citi-rewards-credit-card,25,28
uob-preferred-platinum-visa-card,7,-14
citi-premiermiles-visa-card,37,-27
amex-singapore-airlines-krisflyer-credit-card,19,5
uob-prvi-miles-visa-card,10,20
ocbc-90-degrees-n-mastercard,13,-23
ocbc-titanium-rewards-card,10,-20
hsbc-revolution-credit-card,16,-6
