Full Name,Name
Standard Chartered Unlimited Card,standard-chartered-unlimited-cashback-credit-card
UOB One Card,uob-one-card
POSB Everyday Card,posb-everyday-cashback
Amex True Card,amex-true-cashback-card
OCBC Ntuc Plus Visa Card,ocbc-ntuc-plus-visa-credit-card
DBS Live Fresh Card,dbs-live-fresh-cashback
CIMB Platinum Card,cimb-platinum-mastercard-cashback
OCBC 365 Card,ocbc-365-credit-card
Citi Smrt Card,citi-smrt-card
Standard Chartered Spree Card,standard-chartered-spree-credit-card
OCBC Cashflo Card,ocbc-cashflo-credit-card
CIMB Visa Signature,cimb-visa-signature
HSBC Advance Card,hsbc-advance-credit-card
OCBC Plus Visa Card,ocbc-plus-visa-card
OCBC Frank Card,ocbc-frank-credit-card
Citi Cash Back Plus Card,citi-cash-back-plus-card
Citi Cash Back Card,citi-cash-back-card
DBS Altitude Visa Signature Card,dbs-altitude-visa-signature-card
DBS Womans World Card,dbs-womans-world-card
Citi Rewards Card,citi-rewards-credit-card
UOB Preferred Platinum Visa Card,uob-preferred-platinum-visa-card
Citi Premiermiles Visa Card,citi-premiermiles-visa-card
Amex Singapore Airlines Krisflyer Card,amex-singapore-airlines-krisflyer-credit-card
UOB Prvi Miles Card,uob-prvi-miles-visa-card
OCBC 90 Degrees N Card,ocbc-90-degrees-n-mastercard
OCBC Titanium Rewards Card,ocbc-titanium-rewards-card
HSBC Revolution Card,hsbc-revolution-credit-card
